Palabra,category_SEL,category_Ncr
aturdir,Sorpresa,
aturrullar,Sorpresa,
aturullar,Sorpresa,
batir,Sorpresa,
bobo,Sorpresa,
bombo,Sorpresa,
boquiabierto,Sorpresa,
chasco,Sorpresa,
coger,Sorpresa,
confundir,Sorpresa,
confusión,Sorpresa,
conmoción,Sorpresa,
conmocionar,Sorpresa,
conseguir,Sorpresa,
consternación,Sorpresa,
consternación,Tristeza,
consternar,Sorpresa,
conturbar,Sorpresa,
descomunalmente,Sorpresa,
desconcertar,Sorpresa,
desconcierto,Sorpresa,
descuidar,Sorpresa,
deslumbramiento,Sorpresa,
deslumbrantemente,Sorpresa,
deslumbrar,Sorpresa,
desmayo,Sorpresa,
despampanante,Sorpresa,
despistar,Sorpresa,
embobamiento,Sorpresa,
embobecer,Sorpresa,
embrutecer,Sorpresa,
encandilar,Sorpresa,
enigma,Sorpresa,
enmudecer,Sorpresa,
entontecer,Sorpresa,
entontecimiento,Sorpresa,
estólido,Sorpresa,
estrellas,Sorpresa,
estruendo,Sorpresa,
estupefacción,Sorpresa,
estupefacto,Sorpresa,
estupendamente,Sorpresa,
estupor,Sorpresa,
exclamación,Sorpresa,
extrañar,Sorpresa,
extrañeza,Sorpresa,
fantásticamente,Sorpresa,
fascinacion,Sorpresa,
frustrar,Sorpresa,
golpe,Sorpresa,
gritar,Sorpresa,
grito,Sorpresa,
idiotizar,Sorpresa,
impresión,Sorpresa,
impresionante,Sorpresa,
increible,Sorpresa,
increíblemente,Sorpresa,
interrogante,Sorpresa,
interrogar,Sorpresa,
intrigar,Sorpresa,
lelo,Sorpresa,
llegar,Sorpresa,
llevar,Sorpresa,
maravilla,Sorpresa,
milagro,Sorpresa,
mirífico,Sorpresa,
misterio,Sorpresa,
mistificar,Sorpresa,
mudo,Sorpresa,
nefando,Sorpresa,
noqueado,Sorpresa,
noquear,Sorpresa,
obtuso,Sorpresa,
ofuscar,Sorpresa,
pasmar,Sorpresa,
pasmo,Sorpresa,
pasmosamente,Sorpresa,
pasmoso,Sorpresa,
perplejidad,Sorpresa,
portento,Sorpresa,
portentosamente,Sorpresa,
portentoso,Sorpresa,
preguntar,Sorpresa,
prodigiosamente,Sorpresa,
prodigiosidad,Sorpresa,
quedar,Sorpresa,
quimérico,Sorpresa,
quisicosa,Sorpresa,
recibir,Sorpresa,
repente,Sorpresa,
rompecabezas,Sorpresa,
shock,Sorpresa,
shoqueado,Sorpresa,
sobresalto,Sorpresa,
sonso,Sorpresa,
sorprendente,Sorpresa,
sorprendentemente,Sorpresa,
sorprender,Sorpresa,
sorpresa,Sorpresa,
sorpresivamente,Sorpresa,
sorpresivo,Sorpresa,
subito,Sorpresa,
tambaleante,Sorpresa,
tambalear,Sorpresa,
titubeante,Sorpresa,
titubear,Sorpresa,
traspiés,Sorpresa,
zonzo,Sorpresa,
zopenco,Sorpresa,
abajamiento,Tristeza,
abandonamiento,Tristeza,
abandonar,Tristeza,
abatidamente,Tristeza,
abatimiento,Tristeza,
abatir,Tristeza,
abochornar,Tristeza,
aburrir,Tristeza,
aciago,Tristeza,
acongojar,Tristeza,
acuitadamente,Tristeza,
acuitar,Tristeza,
adolecer,Tristeza,
aflicción,Tristeza,
afligidamente,Tristeza,
afligir,Tristeza,
agobiante,Tristeza,
agobiantemente,Tristeza,
aguantar,Tristeza,
aherrojar,Tristeza,
ahogo,Tristeza,
aliquebrado,Tristeza,
amargura,Tristeza,
amurriar,Tristeza,
angustiadamente,Tristeza,
angustiar,Tristeza,
añicos,Tristeza,
apabullar ,Tristeza,
apenar,Tristeza,
apiadarse,Tristeza,
aplastar,Tristeza,
aquejar,Tristeza,
arrastradamente,Tristeza,
arrastrar,Tristeza,
arrepentimiento,Tristeza,
arrepentir,Tristeza,
asolar,Tristeza,
atormentadamente,Tristeza,
atribular,Tristeza,
atrición,Tristeza,
cabizbajo,Tristeza,
cabizcaído,Tristeza,
caer,Tristeza,
caerse,Tristeza,
caída,Tristeza,
calvario,Tristeza,
cancamurria,Tristeza,
carcel,Tristeza,
carecer,Tristeza,
cargar,Tristeza,
castigo,Tristeza,
cetrino,Tristeza,
compadecer,Tristeza,
compunción,Tristeza,
compungidamente,Tristeza,
compungir,Tristeza,
condoler,Tristeza,
congoja,Tristeza,
congojoso,Tristeza,
contrición,Tristeza,
contristar,Tristeza,
contrito,Tristeza,
crisis,Tristeza,
cuita,Tristeza,
cuitado,Tristeza,
culpa,Tristeza,
culpabilidad,Tristeza,
culpable,Tristeza,
culpado,Tristeza,
culposo,Tristeza,
decaer,Tristeza,
decaído,Tristeza,
decaimiento,Tristeza,
deficiente,Tristeza,
dejarse,Tristeza,
dejazón,Tristeza,
deplorable,Tristeza,
deplorablemente,Tristeza,
deplorar,Tristeza,
depresión,Tristeza,
deprimente,Tristeza,
deprimir,Tristeza,
derribado,Tristeza,
derribar,Tristeza,
derrota,Tristeza,
desalentadamente,Tristeza,
desalentar,Tristeza,
desaliento,Tristeza,
desalojar,Tristeza,
desamparar,Tristeza,
desamparo,Tristeza,
desanimar,Tristeza,
desánimo,Tristeza,
desaquellar ,Tristeza,
desarrapado,Tristeza,
desastrado,Tristeza,
desazonar,Tristeza,
descaecimiento,Tristeza,
descomponer,Tristeza,
desconsolado,Tristeza,
desconsolador,Tristeza,
desconsolar,Tristeza,
desconsuelo,Tristeza,
descorazonamiento,Tristeza,
descorazonar ,Tristeza,
descuajar,Tristeza,
desdicha,Tristeza,
desdichado,Tristeza,
desengaño,Tristeza,
desesperación,Tristeza,
desesperadamente,Tristeza,
desesperanza,Tristeza,
desesperanzar,Tristeza,
desesperar,Tristeza,
desestimar,Tristeza,
desestimular,Tristeza,
desgarrador,Tristeza,
desgarro,Tristeza,
desgastar,Tristeza,
desgraciar,Tristeza,
deshincharse,Tristeza,
deslucir,Tristeza,
desmadejado,Tristeza,
desmalazado,Tristeza,
desmayadamente,Tristeza,
desmayado,Tristeza,
desmedrar,Tristeza,
desmoralización,Tristeza,
desmoralizador,Tristeza,
desmoralizante,Tristeza,
desmoralizar,Tristeza,
desmotivar,Tristeza,
desolación,Tristeza,
desolar,Tristeza,
despojar,Tristeza,
desposeer,Tristeza,
desprivar,Tristeza,
desprotección,Tristeza,
destartalado,Tristeza,
destrozo,Tristeza,
desventura,Tristeza,
devastar,Tristeza,
doler,Tristeza,
doliente,Tristeza,
dolor,Tristeza,
duelo,Tristeza,
echar,Tristeza,
encoger ,Tristeza,
encuitar,Tristeza,
enflaquecer,Tristeza,
enlutar,Tristeza,
ensombrecer,Tristeza,
entristecedor,Tristeza,
entristecer,Tristeza,
entristecimiento,Tristeza,
escarmentar,Tristeza,
escasez,Tristeza,
esplín,Tristeza,
estragar,Tristeza,
flaquear,Tristeza,
flaqueza,Tristeza,
flébil,Tristeza,
frustación,Tristeza,
fúnebre,Tristeza,
fúnebremente,Tristeza,
funeral,Tristeza,
funesto,Tristeza,
grave,Tristeza,
gris,Tristeza,
hambre,Tristeza,
humilde,Tristeza,
humillar,Tristeza,
hundir,Tristeza,
hundírsele,Tristeza,
impotencia,Tristeza,
inconforme,Tristeza,
inconformidad,Tristeza,
inconsolable,Tristeza,
indigente,Tristeza,
infausto,Tristeza,
infectar,Tristeza,
infedelidad,Tristeza,
infelicidad,Tristeza,
infeliz,Tristeza,
inferior,Tristeza,
infortunado,Tristeza,
infortunio,Tristeza,
inhabitado,Tristeza,
injusticia,Tristeza,
innoble,Tristeza,
inquietud,Tristeza,
insatisfacción,Tristeza,
lacerar,Tristeza,
laceria,Tristeza,
lacrimoso,Tristeza,
lágrima,Tristeza,
lagrimar,Tristeza,
lágrimas,Tristeza,
lagrimear,Tristeza,
lagrimoso,Tristeza,
laido,Tristeza,
lamentable,Tristeza,
lamentablemente,Tristeza,
lamentar,Tristeza,
lamento,Tristeza,
lamentoso,Tristeza,
lánguidamente,Tristeza,
lánguido,Tristeza,
larga,Tristeza,
lastima,Tristeza,
lastimeramente,Tristeza,
lastimoso,Tristeza,
llanto,Tristeza,
llorar,Tristeza,
lóbregamente,Tristeza,
lóbrego,Tristeza,
luctuosamente,Tristeza,
luctuoso,Tristeza,
lúgubre,Tristeza,
lugubres,Tristeza,
luto,Tristeza,
lutoso,Tristeza,
macabro,Tristeza,
malandante,Tristeza,
malaventurado,Tristeza,
malcontento,Tristeza,
malhadado,Tristeza,
malhumorar,Tristeza,
maltrecho,Tristeza,
melancolía,Tristeza,
melancólicamente,Tristeza,
menesteroso,Tristeza,
menguante,Tristeza,
mezquinamente,Tristeza,
mezquindad,Tristeza,
miserable,Tristeza,
miserablemente,Tristeza,
míseramente,Tristeza,
miseria,Tristeza,
mísero,Tristeza,
misérrimamente,Tristeza,
morriña,Tristeza,
mustiamente,Tristeza,
mustio,Tristeza,
necesitado,Tristeza,
obscuridad,Tristeza,
obscuro,Tristeza,
onerosamente,Tristeza,
opacidad,Tristeza,
opresivamente,Tristeza,
oprimente,Tristeza,
oprimir,Tristeza,
oscuramente,Tristeza,
oscurecer,Tristeza,
oscuridad,Tristeza,
padecer,Tristeza,
padecimiento,Tristeza,
partir,Tristeza,
paupérrimamente,Tristeza,
paupérrimo,Tristeza,
penalidad,Tristeza,
penar,Tristeza,
penitencia,Tristeza,
penitente,Tristeza,
penosamente,Tristeza,
penoso,Tristeza,
perder,Tristeza,
pérdida,Tristeza,
pesadumbre,Tristeza,
pesar,Tristeza,
pesaroso,Tristeza,
pesimismo,Tristeza,
pisotear,Tristeza,
pobre,Tristeza,
pobremente,Tristeza,
pobrete,Tristeza,
pobreto,Tristeza,
pobreza,Tristeza,
preocupar,Tristeza,
presionar,Tristeza,
privar,Tristeza,
quebranto,Tristeza,
reducir,Tristeza,
remordimiento,Tristeza,
ruina,Tristeza,
soledad,Tristeza,
sollozar,Tristeza,
sufrimiento,Tristeza,
sufrir,Tristeza,
sumisamente,Tristeza,
taciturnidad,Tristeza,
taciturno,Tristeza,
tenebrosamente,Tristeza,
tenebrosidad,Tristeza,
tenebroso,Tristeza,
tétrico,Tristeza,
triste,Tristeza,
tristemente,Tristeza,
tristeza,Tristeza,
trizas,Tristeza,
zangarriana ,Tristeza,
adicto,Alegría,
ventajoso,Alegría,
mal ,Enojo,
ávido,Alegría,
benéfico,Alegría,
beneficioso,Alegría,
amargo,Tristeza,
cómodo,Alegría,
muerto,Tristeza,
bueno,Alegría,
decorativo,Alegría,
abatido,Tristeza,
alicaído,Tristeza,
desanimado,Tristeza,
serio,Tristeza,
envidioso,Enojo,
extenso,Alegría,
extraordinario,Sorpresa,
genio,Enojo,
divino,Alegría,
grandioso,Sorpresa,
desventurado,Tristeza,
hospitalario,Alegría,
imperfecto,Tristeza,
abrumar ,Tristeza,
escrúpulo ,Repulsión,
enervar ,Tristeza,
debilitar ,Tristeza,
angustiado,Miedo,
alergia ,Repulsión,
agobiado,Tristeza,
amoroso,Alegría,
bajo,Tristeza,
confuso,Miedo,
llorón,Tristeza,
culto,Alegría,
desorientado,Miedo,
gracioso,Alegría,
caído,Tristeza,
eufórico,Alegría,
aplanar ,Tristeza,
miedoso,Miedo,
magno,Alegría,
funerario,Tristeza,
majadero,Enojo,
perplejo,Sorpresa,
apestoso,Repulsión,
indignado,Enojo,Enojo
brutalidad ,,Enojo
odio ,Repulsión,Enojo
odioso,Repulsión,Enojo
aterrorizar ,,Enojo
enfurecido,,Enojo
violentamente ,,Enojo
furioso,Enojo,Enojo
furiosamente,Enojo,Enojo
púdrete ,,Enojo
asesino,,Enojo
furia ,,Enojo
ejecución ,,Enojo
enojado ,,Enojo
salvajismo ,,Enojo
sacrificio ,,Enojo
asesinar ,,Enojo
jodido ,,Enojo
aniquilación ,,Enojo
detestar ,,Enojo
condenación ,,Enojo
follar ,,Enojo
homicida ,,Enojo
furor ,,Enojo
hostil ,,Enojo
aniquilar ,Tristeza,Enojo
asesinato ,,Enojo
furioso ,,Enojo
molesto,Enojo,Enojo
violación ,,Enojo
explosivo,,Enojo
obliterado ,,Enojo
vengativo,Enojo,Enojo
feroz ,,Enojo
enfurecer ,,Enojo
combativo,,Enojo
venganza ,,Enojo
ira ,,Enojo
tormento ,,Enojo
vicioso,,Enojo
amenazante ,,Enojo
masacre ,,Enojo
sanguinario,Miedo,Enojo
aborrecible ,,Enojo
lucha ,,Enojo
aniquilado,,Enojo
matanza ,,Enojo
pelearse ,,Enojo
asalto ,,Enojo
estrangular ,,Enojo
explotar ,,Enojo
malicioso,,Enojo
diatriba ,,Enojo
hostilidad ,,Enojo
repugnante ,,Enojo
ataque ,,Enojo
infierno ,,Enojo
malicia ,,Enojo
terrorismo ,,Enojo
golpeando ,,Enojo
desesperarme,,Enojo
profanación ,,Enojo
airado,,Enojo
tumultuoso,,Enojo
destruyendo ,,Tristeza
violento,Enojo,Enojo
puñalada ,,Enojo
abominación ,,Enojo
obliterar ,,Enojo
beligerante ,,Enojo
pinchazo ,,Enojo
crueldad ,,Enojo
horrible ,,Enojo
devastar ,,Enojo
rabioso,Enojo,Enojo
tortura ,,Enojo
satánico,,Enojo
odiando,,Enojo
tiránico,,Enojo
demoníaco,,Enojo
modo furia ,,Enojo
despreciable ,,Enojo
ruinoso,,Enojo
condenar ,,Enojo
exterminio ,,Enojo
disturbios ,,Enojo
gilipollas ,,Enojo
enfadado,Enojo,Enojo
demoler ,,Tristeza
lívido,,Disgusto
loco,Enojo,Enojo
ferocidad ,,Enojo
terrorista ,,Enojo
venenoso,,Enojo
putear,,Enojo
aborrecer ,,Enojo
mantanza,,Enojo
salvaje ,,Enojo
atrocidad ,,Enojo
enojarse,,Enojo
enfadado ,,Enojo
me enoja ,,Enojo
abuso ,,Enojo
bárbaro,,Miedo
enloquecido ,,Enojo
exasperación,Enojo,Enojo
destructor,,Enojo
tirano,,Disgusto
pedazo de mierda,,Enojo
golpe ,,Enojo
puñetazos ,,Enojo
homicidio ,,Enojo
golpeado,,Enojo
perra ,,Enojo
pelea ,,Enojo
destructivo,,Enojo
villano,,Enojo
bofetada ,,Sorpresa
matadero ,,Enojo
gritando ,,Enojo
disturbio,,Enojo
castigando,,Enojo
diabólico,,Enojo
choque ,,Enojo
matarife,,Enojo
infernal ,,Enojo
sangriento,Miedo,Enojo
poco dispuesto ,,Enojo
detonación ,,Enojo
siniestro,,Enojo
fina ,,Enojo
traicionero,,Enojo
acusación ,,Miedo
rubio,,Enojo
tomar represalias ,,Enojo
repugnancia ,Repulsión,Enojo
horrendo,Miedo,Enojo
desdén ,,Enojo
bomba ,,Enojo
deplorable ,,Enojo
anarquista ,,Miedo
devastación ,,Miedo
resentirse de ,,Enojo
tormenta de fuego ,,Enojo
más sólido ,,Enojo
aplastar ,,Enojo
mortal ,,Enojo
tan enojado ,,Enojo
despotricar ,,Enojo
cruel ,,Enojo
arrebato,Enojo,Enojo
gruñido ,,Enojo
no te metas conmigo,,Enojo
profano,,Enojo
agravante ,,Enojo
imbécil,Sorpresa,Enojo
ofender ,,Enojo
horror ,,Sorpresa
despreciar ,,Disgusto
vulgaridad ,,Disgusto
stfu ,,Enojo
acoso ,,Enojo
jodido,,Enojo
estallar ,,Enojo
violencia ,,Miedo
amenaza ,,Enojo
bastardos,,Enojo
amenazador,,Enojo
aplastante ,,Enojo
maldita sea ,,Enojo
catástrofe ,,Enojo
demonio ,,Enojo
discutir ,,Enojo
harto ,,Enojo
vehemente ,,Enojo
dar paliza,,Enojo
guerra ,,Enojo
revuelta ,,Sorpresa
azotar ,,Miedo
deplorar ,,Disgusto
perseguir ,,Enojo
desenfrenado,,Enojo
altercado ,,Enojo
belicoso,Enojo,Enojo
motín ,,Enojo
dia de mierda,,Enojo
sabotaje ,,Enojo
castrar ,,Enojo
huelga ,,Enojo
malévolo,Enojo,Enojo
desastre ,,Enojo
desastroso,,Enojo
ahogo ,,Enojo
mamón,,Enojo
grito ,,Enojo
bastardo ,,Enojo
abrasador,,
mierda de caballo,,Enojo
traición ,,Enojo
matar ,,Enojo
brutal ,,Enojo
tumulto ,,Enojo
enloquecer ,,Enojo
agrava ,,Enojo
alimañas ,,Enojo
anarquismo ,,Enojo
mutilación ,,Enojo
delincuente ,,Enojo
puñetazo ,,Enojo
denuncia ,,Enojo
holocausto ,,Enojo
blasfemo,,Enojo
luchado,,Enojo
pendejo,,Enojo
fatal ,,Enojo
virulencia ,,Enojo
doler ,,Enojo
crucifixión ,,Enojo
trastornado,,Disgusto
maldad ,,Enojo
irritado,Enojo,Enojo
atroz ,,Enojo
intimidación ,,Enojo
persecucion ,,Enojo
secuestrar ,,Enojo
polla ,,
regaño ,,Enojo
agravado,,Enojo
agresión ,,Enojo
armado,,Enojo
veneno ,,Enojo
batalla ,,Enojo
descontento,Enojo,Enojo
agresor,Enojo,Enojo
insidioso,,Enojo
resentimiento ,,Enojo
desdeñoso,,
linchar ,,Enojo
enojado,Enojo,Enojo
matón,,Enojo
templar ,,Enojo
infanticidio ,,Enojo
maldición ,,Enojo
dominación ,,Enojo
prisión ,,Enojo
terrible ,,Enojo
menospreciar ,,Enojo
me enfurece ,,Enojo
volatilidad ,,Enojo
erradicación ,,Disgusto
sinvergüenza ,,Enojo
erradicar ,,Enojo
berrinche ,,Enojo
agitación ,,Enojo
agresivamente ,,Enojo
irritarse ,,Enojo
dictadura ,,Enojo
blasfemia ,,Enojo
ruin ,,Enojo
expletivo,,Enojo
infligir ,,Enojo
desprecio ,,Enojo
crimen ,,Enojo
desagradable ,,Enojo
enorme ,,
empujón ,,Enojo
disparo ,,Enojo
aplastada ,,Enojo
corromping ,,Enojo
dañino,Tristeza,Enojo
con crueldad ,,Enojo
maníaco,,Enojo
irritable ,,Enojo
tiroteo ,,
gritar ,,Sorpresa
erupción ,,Enojo
despiadado,Miedo,Enojo
patear ,,Enojo
pegar ,,Enojo
enemigo,Enojo,Enojo
combate ,,Enojo
castigado,,Enojo
emboscada ,,Enojo
acosar ,,Enojo
sangre ,,
expulsar ,,Tristeza
maligno,Enojo,Enojo
destrucción ,,Enojo
incienso ,,Enojo
antecristo ,,Enojo
de maniático ,,Enojo
represalia ,,Enojo
esclavo,,Enojo
ofendido,,Enojo
insultante ,,Enojo
insurrección ,,Enojo
animosidad ,Repulsión,Enojo
denunciar ,,Enojo
verdugo ,,Enojo
coño ,,Enojo
día del juicio final ,,Enojo
bombardear ,,Enojo
enemistad,Enojo,Enojo
acusado,,Miedo
incendio provocado ,,Miedo
encadenar ,,Enojo
obscenidad ,,Enojo
discusión,,Enojo
inexcusable ,,Tristeza
expulsión ,,Miedo
reprimenda ,,Enojo
envenenado,,Enojo
pateando ,,Enojo
herida ,,Enojo
golpear,,Enojo
frustrado,,Enojo
colgante ,,
azotando,,Enojo
suicida ,,Enojo
anarquía ,,Enojo
deslumbrador,,Enojo
combatiente ,,Enojo
destrozado,,Enojo
grave ,,Enojo
hacer trampa ,,Enojo
enjuiciar ,,Enojo
agitado,,Enojo
esvástica ,,Enojo
esclavizado,,Enojo
redada ,,Enojo
asfixia ,,Enojo
difamatorio,,Enojo
procesar ,,Enojo
maldiciones ,,Enojo
provocación ,,Enojo
acosamiento ,,Enojo
lesionar ,,Enojo
traicionar ,,Enojo
tremendo,Miedo,
imbécil ,,Enojo
represalias ,,Enojo
robo ,,Enojo
irritar ,,Enojo
privación ,,Enojo
terco,,Enojo
confusión ,,Enojo
abofetear,,Enojo
adverso,Tristeza,Enojo
batería ,,Enojo
tablero ,,
colisión ,,Enojo
perjudicial ,,Enojo
rebelión ,,Enojo
esclavitud ,,Enojo
pandilla ,,Enojo
irritabilidad ,,Enojo
amargamente ,,Enojo
opresor ,,Enojo
antagonismo ,,Enojo
intolerable ,,Enojo
desgraciado,,Tristeza
nauseabundo,Repulsión,Enojo
rantado ,,Enojo
estúpido,Sorpresa,Enojo
auricular ,,
irritante ,,Disgusto
discriminación ,,Enojo
bombardeo ,,Enojo
antagonista ,,Enojo
revolución ,,Enojo
explosión ,,Enojo
frustrar ,,Enojo
tensión ,,Enojo
manipulación ,,Enojo
opresión ,,Enojo
hiriente ,,Enojo
insulto ,,Enojo
cansado de ello ,,Enojo
fanático,,Enojo
asco ,Repulsión,Enojo
despecho ,,Enojo
intruso,,Enojo
dureza ,,Enojo
calumnia ,,Enojo
amargura ,,Enojo
tempestad ,,Enojo
miserable ,,Enojo
morbosidad ,,Enojo
atacar ,,Enojo
punción ,,Enojo
invasión ,,Enojo
víctima ,,Enojo
consternación ,,Enojo
guillotina ,,Enojo
a la fuerza ,,Enojo
abrumador,,Enojo
inmoral ,,Enojo
culpable ,,Enojo
depravado,,Enojo
delirante ,,Enojo
muy molesto ,,Enojo
recalcitrante ,,Enojo
maldito,Enojo,Enojo
atornillado,,Enojo
invasor,,Enojo
susto ,,Miedo
indignación ,,Enojo
celos ,,Enojo
confrontar ,,Enojo
bruto,Sorpresa,Enojo
acelerador ,,Enojo
provocador,,Enojo
pillaje ,,Enojo
daño ,,Enojo
cállate ,,Enojo
contencioso,,Enojo
disputa,Enojo,Enojo
encarcelamiento ,,Enojo
carnicero,,Enojo
latigazo ,,Enojo
conflicto ,,Tristeza
resplandor ,,Expectativa
puta ,,Enojo
desafiante ,,Enojo
restos,,Enojo
revólver ,,Enojo
apestas,,Enojo
criminalidad ,,Enojo
cáncer ,,Enojo
frustración ,,Enojo
punto muerto ,,Enojo
no molestes,,Enojo
alienación ,,Enojo
pistola ,,Enojo
pernicioso,Enojo,Enojo
manosear,,Enojo
discordia ,,Disgusto
condescendencia ,,Enojo
discriminar ,,Enojo
caótico,,Enojo
disturbio ,,Enojo
monstruosidad ,,Enojo
locura ,,Enojo
opresivo,Tristeza,Enojo
escandaloso,,Enojo
burla ,,Enojo
muerte ,,Enojo
mierda ,,Enojo
cortar,Miedo,Enojo
injusto,,Enojo
despectivo,,Enojo
horca ,,Enojo
escalar ,,Enojo
intolerante ,,Enojo
desorden ,,Miedo
blandor ,,Enojo
arghh ,,Enojo
bestia ,,Enojo
traidor,,Enojo
malhumorado,Enojo,Enojo
hormigueo ,,Enojo
pulla ,,Enojo
perdición ,,Disgusto
espantoso,Miedo,Enojo
invadir ,,Enojo
destello ,,Enojo
engañado,,Enojo
torpedo ,,Enojo
fuelle ,,Enojo
retrasos ,,Enojo
osuno,,Enojo
delirio ,,Enojo
rejilla ,,Enojo
ladrón,,Disgusto
incontrolable ,,Enojo
idiotas ,,Enojo
devastador,,Enojo
banshee ,,Enojo
cruzar ,,Enojo
encaja ,,Enojo
romper ,,Enojo
conflagración ,,Enojo
poner en peligro ,,Enojo
disensión ,,Enojo
subyugación ,,Enojo
perturbado,,Enojo
pisoteado,,Enojo
tomar ,,Enojo
marcado,,Enojo
masoquismo ,,Enojo
queja ,,Enojo
desafío ,,Enojo
chantaje ,,Enojo
ofensivo,Enojo,Enojo
desacreditar ,,Enojo
pecado ,,Enojo
fustrado ,,Enojo
confinar ,,Enojo
engañar ,,Disgusto
arghhhh ,,Enojo
castigo ,,Enojo
absurdo,,Enojo
vergonzoso,Miedo,Enojo
lado oscuro ,,Enojo
frustraciones ,,Enojo
despótico,,Enojo
miseria ,,Enojo
armas de fuego ,,Enojo
rebelde ,,Enojo
estridente ,,Sorpresa
disparidad ,,Disgusto
tuve suficiente ,,Enojo
robado,,Enojo
falta ,,Enojo
adversario,Enojo,Enojo
conspirador,,Enojo
escaramuza ,,Enojo
arruinado,,Miedo
entrada ,,Enojo
humillar ,,Enojo
perjudicar ,,
resentido,Enojo,Enojo
calentado,,Enojo
calloso,,Enojo
argumento ,,Enojo
picadura ,,Enojo
enredado,,Enojo
resistencia ,,Enojo
irreconciliable ,,Enojo
obstructivo ,,Enojo
multitud ,,Enojo
solo para ,,Enojo
ridículo,,Enojo
incendiario,,Enojo
bengallas ,,Enojo
dos enfrentados ,,Enojo
exacerbación ,,Enojo
comunismo ,,Enojo
levantamiento ,,Enojo
disputa ,,Enojo
imprudente ,,Enojo
confinamiento ,,Enojo
degeneración ,,Enojo
látigo ,,Enojo
empequeñecer ,,Enojo
alegación ,,Enojo
abordado,,Enojo
dictatorial ,,Enojo
perversión ,,Enojo
fiesty ,,Enojo
molestia ,,Enojo
injustificable ,,Enojo
disonancia ,,Enojo
cansado ,,Enojo
caliente ,,Enojo
renegado,,Enojo
suicidio ,,Enojo
molestar ,,Enojo
déjame solo ,,Enojo
depravación ,,Enojo
desfogue ,,Enojo
divorcio ,,Enojo
deshonesto,,Enojo
prisionero,,Enojo
coacción ,,Disgusto
idiota ,,Enojo
tortuoso,,Enojo
criticar ,,Enojo
irrespetuoso,,Enojo
desconfianza ,,Enojo
cretins ,,Enojo
asar ,,Enojo
bilis ,,Enojo
rugido ,,Enojo
caza furtiva ,,Enojo
imperdonable,,Enojo
poachers ,,Enojo
poder ,,Alegría
desatraillar ,,Enojo
argumentación ,,Enojo
caos ,,Enojo
frustrante ,,Enojo
coerción ,,Enojo
gruñón,Enojo,Enojo
victimizado,,Enojo
enemistad ,,Enojo
repudio ,,Enojo
desterrar ,,Enojo
desfigurado,,Enojo
tormenta ,,
humillación ,,Disgusto
obstruir ,,Enojo
a nadie le importa ,,Enojo
rechazar ,,Enojo
revoltoso,,Enojo
martilleo ,,Enojo
negligencia profesional ,,Enojo
frenético,Enojo,Enojo
supresión ,,Enojo
poseído,Miedo,Enojo
intratable ,,Enojo
fervor ,,Enojo
esfuerzo ,,Enojo
confinado,,Enojo
injusticia ,,Enojo
rehuir ,,Enojo
desafiar ,,Miedo
angustia ,,Enojo
antítesis ,,Enojo
temor ,,Enojo
alejado,,Enojo
ánimo ,,Alegría
lanza ,,Expectativa
dominar ,,Enojo
protector ,,Enojo
descarado,,Enojo
interrumpir ,,Enojo
prueba ,,Enojo
espumoso,,Enojo
supérate a ti mismo ,,Enojo
gente estupida ,,Enojo
tenacidad ,,Enojo
pecaminoso,Repulsión,Enojo
oprimir ,,Enojo
avaricia ,,Disgusto
anatema ,,Disgusto
incesto ,,Enojo
disidente ,,Enojo
abolir ,,Enojo
contrabandista ,,Enojo
garra ,,Enojo
revocar ,,Enojo
infracción ,,Enojo
vengador,,Enojo
pervertido,,Enojo
corte ,,Enojo
usurpar ,,Enojo
inhumano,,Enojo
deservicio ,,Enojo
molesto ,,Enojo
mantente alejado ,,Enojo
desobediente ,,Enojo
enajenar ,,Enojo
fricking ,,Enojo
demanda ,,Enojo
desaprobado,,Enojo
litigioso,,Enojo
rivalidad ,,Enojo
burlón,,Enojo
trillar ,,Enojo
contener ,,Enojo
culpar ,,Enojo
engaño ,,Enojo
tenso,Enojo,Miedo
multa ,,Enojo
opuesto,,Enojo
desgracia ,,Enojo
encarcelado,,Enojo
ventosa ,,Enojo
suspicaz ,,Enojo
convulsión ,,Enojo
renuncia ,,Enojo
turbulencia ,,Enojo
libra ,,Enojo
frialdad ,,Enojo
desagradecido,,Enojo
stoopido ,,Enojo
batallón ,,Enojo
armamento ,,Enojo
celoso,Alegría,Enojo
rehén ,,Enojo
adversidad ,,Enojo
infiel ,,Enojo
embestir,Enojo,Enojo
desposeído,,Enojo
feudalismo ,,Enojo
hiel ,,Enojo
acusador,,Enojo
fricción ,,Enojo
subversión ,,Enojo
saquear ,,Enojo
incitar ,,Enojo
objeción ,,Enojo
hervir a fuego lento ,,Enojo
ofensa ,,Enojo
quejarse ,,Enojo
lesión ,,Enojo
ruptura ,,Enojo
apártate ,,Enojo
robar ,,Enojo
control de la ira ,,Enojo
sofocado,,Enojo
ahogar ,,Enojo
egoísta ,,Enojo
Disgustoo ,,Enojo
reincidencia ,,Enojo
desobedecer ,,Enojo
intolerancia ,,Disgusto
exilio ,,Enojo
golpear ,,Enojo
egoísmo ,,Enojo
suspiro ,,Enojo
autor,,Enojo
subversivo,,Enojo
oposición ,,Enojo
estás bromeando ,,Enojo
taza ,,Enojo
agonía ,,Enojo
